GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",1947,56,0,16,0,16,16,26,14,22,198,110,160,94,898,165,460,124,201,82
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1613,51,0,11,204,64,169,67,286,94,103,63,76,49,78,50,34,37,663,123
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2198,93,53,65,400,153,244,106,79,73,27,45,99,82,64,56,24,28,1208,179
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",676,23,0,11,0,11,0,11,7,10,20,16,358,67,19,21,8,11,264,72
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3375,109,38,62,263,117,217,97,267,123,380,125,781,187,217,132,132,92,1080,171
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",2392,91,0,16,13,21,158,96,37,52,91,62,270,115,98,79,89,67,1636,181
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2521,96,16,25,383,128,74,71,22,27,62,53,55,46,138,103,63,50,1708,190
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1871,66,0,11,6,9,138,84,164,57,227,96,184,69,109,64,195,74,848,124
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",868,49,8,9,374,71,206,58,65,48,0,11,5,8,12,20,11,15,187,44
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",4930,95,0,16,92,74,102,92,84,91,86,64,1048,262,439,191,308,154,2771,330
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",2731,115,0,16,353,99,316,116,64,58,0,16,19,31,0,16,93,77,1886,169
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",4172,123,0,16,369,157,48,44,74,73,227,138,138,103,386,157,206,117,2724,270
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",1625,40,0,11,398,94,141,68,157,82,111,50,30,28,45,39,62,43,681,112
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",1561,66,0,11,455,88,17,20,33,28,17,21,10,12,82,46,39,32,908,101
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",1550,71,3,5,235,95,0,11,0,11,45,30,255,84,66,49,52,34,894,122
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",5744,128,0,16,48,55,221,132,242,117,60,73,260,194,228,151,423,153,4262,331
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",3119,135,42,68,461,138,54,48,46,43,1113,184,69,57,36,40,96,78,1202,209
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",4573,106,38,62,101,101,0,16,18,32,23,37,198,110,625,186,514,190,3056,281
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",3767,161,0,16,228,159,36,44,159,119,107,102,46,41,147,98,168,87,2876,257
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",1801,56,0,11,155,82,79,44,34,24,172,74,595,110,126,52,7,10,633,105
